citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
86 FR 71357, 2021-27380,71366,https://www.federalregister.gov/documents/2021/12/16/2021-27380/transforming-federal-customer-experience-and-service-delivery-to-rebuild-trust-in-government,https://www.govinfo.gov/content/pkg/FR-2021-12-16/pdf/2021-27380.pdf,Presidential Document,Executive Order,12/16/2021,2021-12-13,71357,Transforming Federal Customer Experience and Service Delivery To Rebuild Trust in Government,"See: EO 13571, April 27, 2011; EO 13707, September 15, 2015; EO 13985, January 20, 2021; EO 14091, February 16, 2023; 14112, December 6, 2023",14058
86 FR 70935, 2021-27114,70943,https://www.federalregister.gov/documents/2021/12/13/2021-27114/catalyzing-clean-energy-industries-and-jobs-through-federal-sustainability,https://www.govinfo.gov/content/pkg/FR-2021-12-13/pdf/2021-27114.pdf,Presidential Document,Executive Order,12/13/2021,2021-12-08,70935,Catalyzing Clean Energy Industries and Jobs Through Federal Sustainability,"Revokes: EO 13834, May 17, 2018 
See: EO 13423, January 24, 2007; EO 13985, January 20, 2021; EO 13990, January 20, 2021; EO 14005, January 25, 2021; EO 14008,  January 27, 2021; EO 14017, February 24, 2021; EO 14030, May 20, 2021; EO 14096, April 21, 2023
Revoked by: EO 14148, January 20, 2025; EO 14154, January 20, 2025",14057
86 FR 68871, 2021-26459,68874,https://www.federalregister.gov/documents/2021/12/03/2021-26459/the-national-space-council,https://www.govinfo.gov/content/pkg/FR-2021-12-03/pdf/2021-26459.pdf,Presidential Document,Executive Order,12/03/2021,2021-12-01,68871,The National Space Council,"Revokes: EO 13803, June 30, 2017; EO 13906, February 13, 2020",14056
86 FR 66397, 2021-25715,66401,https://www.federalregister.gov/documents/2021/11/23/2021-25715/nondisplacement-of-qualified-workers-under-service-contracts,https://www.govinfo.gov/content/pkg/FR-2021-11-23/pdf/2021-25715.pdf,Presidential Document,Executive Order,11/23/2021,2021-11-18,66397,Nondisplacement of Qualified Workers Under Service Contracts,"Revokes: EO 13897, October 31, 2019
Revoked by: EO 14148, January 20, 2025",14055
86 FR 66149, 2021-25548,66150,https://www.federalregister.gov/documents/2021/11/19/2021-25548/termination-of-emergency-with-respect-to-the-situation-in-burundi,https://www.govinfo.gov/content/pkg/FR-2021-11-19/pdf/2021-25548.pdf,Presidential Document,Executive Order,11/19/2021,2021-11-18,66149,Termination of Emergency With Respect to the Situation in Burundi,"Revokes: EO 13712, November 22, 2015",14054
86 FR 64337, 2021-25287,64341,https://www.federalregister.gov/documents/2021/11/18/2021-25287/improving-public-safety-and-criminal-justice-for-native-americans-and-addressing-the-crisis-of,https://www.govinfo.gov/content/pkg/FR-2021-11-18/pdf/2021-25287.pdf,Presidential Document,Executive Order,11/18/2021,2021-11-15,64337,Improving Public Safety and Criminal Justice for Native Americans and Addressing the Crisis of Missing or Murdered Indigenous People,"",14053
86 FR 64335, 2021-25286,64336,https://www.federalregister.gov/documents/2021/11/18/2021-25286/implementation-of-the-infrastructure-investment-and-jobs-act,https://www.govinfo.gov/content/pkg/FR-2021-11-18/pdf/2021-25286.pdf,Presidential Document,Executive Order,11/18/2021,2021-11-15,64335,Implementation of the Infrastructure Investment and Jobs Act,"Amended by: EO 14082, September 12, 2022
See: EO 14096, April 21, 2023
Revoked by: EO 14148, January 20, 2025",14052
86 FR 60747, 2021-24183,60748,https://www.federalregister.gov/documents/2021/11/03/2021-24183/designation-to-exercise-authority-over-the-national-defense-stockpile,https://www.govinfo.gov/content/pkg/FR-2021-11-03/pdf/2021-24183.pdf,Presidential Document,Executive Order,11/03/2021,2021-10-31,60747,Designation To Exercise Authority Over the National Defense Stockpile,"See: EO 13603, March 16, 2012; EO 14017, February 24, 2021",14051
86 FR 58551, 2021-23224,58557,https://www.federalregister.gov/documents/2021/10/22/2021-23224/white-house-initiative-on-advancing-educational-equity-excellence-and-economic-opportunity-for-black,https://www.govinfo.gov/content/pkg/FR-2021-10-22/pdf/2021-23224.pdf,Presidential Document,Executive Order,10/22/2021,2021-10-19,58551,"White House Initiative on Advancing Educational Equity, Excellence, and Economic Opportunity for Black Americans","Supersedes: EO 13621, July 26, 2012
See: EO 14091, February 16, 2023
Revoked by: EO 14148, January 20, 2025",14050
86 FR 57313, 2021-22588,57318,https://www.federalregister.gov/documents/2021/10/14/2021-22588/white-house-initiative-on-advancing-educational-equity-excellence-and-economic-opportunity-for,https://www.govinfo.gov/content/pkg/FR-2021-10-14/pdf/2021-22588.pdf,Presidential Document,Executive Order,10/14/2021,2021-10-11,57313,"White House Initiative on Advancing Educational Equity, Excellence, and Economic Opportunity for Native Americans and Strengthening Tribal Colleges and Universities","Supersedes: EO 13592, December 2, 2011
See: EO 13647, June 26, 2013; EO 14091, February 16, 2023
Revoked by: EO 14148, January 20, 2025",14049
86 FR 55465, 2021-21908,55468,https://www.federalregister.gov/documents/2021/10/05/2021-21908/continuance-or-reestablishment-of-certain-federal-advisory-committees-and-amendments-to-other,https://www.govinfo.gov/content/pkg/FR-2021-10-05/pdf/2021-21908.pdf,Presidential Document,Executive Order,10/05/2021,2021-09-30,55465,Continuance or Reestablishment of Certain Federal Advisory Committees and Amendments to Other Executive Orders,"Amends: EO 11287, June 28, 1966; EO 12382, September 13, 1982; EO 13231, October 16, 2001; EO 13265, June 6, 2002 
Partially supersedes: EO 13889, September 27, 2019 
See: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 11612, July 26, 1971; EO 12131, May 4, 1979; EO 12216, June 18, 1980; EO 12382, September 13, 1982; EO 12829, January 6, 1993; EO 12905, March 25, 1994; EO 12915, May 13, 1994; EO 12916, May 13, 1994; EO 12963, June 14, 1995; EO 12994, March 21, 1996; EO 13112, February 3, 1999; EO 13179, December 7, 2000; EO 13231, October 16, 2001; EO 13265, June 6, 2002; EO 13540, April 26, 2010; EO 13549, August 8, 2010; EO 13621, July 26, 2012; EO 13675, August 8, 2014; EO 14007, January 29, 2021; EO 14008, January 27, 2021; EO 14031, May 28, 2021; EO 14041, September 2, 2021; EO 14045, September 13, 2021
Superseded by: EO 14109, September 29, 2023",14048
86 FR 52591, 2021-20629,52592,https://www.federalregister.gov/documents/2021/09/22/2021-20629/adding-measles-to-the-list-of-quarantinable-communicable-diseases,https://www.govinfo.gov/content/pkg/FR-2021-09-22/pdf/2021-20629.pdf,Presidential Document,Executive Order,09/22/2021,2021-09-17,52591,Adding Measles to the List of Quarantinable Communicable Diseases,"Amends: EO 13295, April 4, 2003 
See: EO 13375, April 1, 2005; EO 13674, July 31, 2014",14047
86 FR 52389, 2021-20508,52393,https://www.federalregister.gov/documents/2021/09/21/2021-20508/imposing-sanctions-on-certain-persons-with-respect-to-the-humanitarian-and-human-rights-crisis-in,https://www.govinfo.gov/content/pkg/FR-2021-09-21/pdf/2021-20508.pdf,Presidential Document,Executive Order,09/21/2021,2021-09-17,52389,Imposing Sanctions on Certain Persons With Respect to the Humanitarian and Human Rights Crisis in Ethiopia,"",14046
86 FR 51579, 2021-20164,51579,https://www.federalregister.gov/documents/2021/09/16/2021-20164/amending-executive-order-14007,https://www.govinfo.gov/content/pkg/FR-2021-09-16/pdf/2021-20164.pdf,Presidential Document,Executive Order,09/16/2021,2021-09-13,51579,Amending Executive Order 14007,"Amends: EO 14007, January 27, 2021
Revoked by: EO 14148, January 20, 2025",14044
86 FR 51581, 2021-20165,51587,https://www.federalregister.gov/documents/2021/09/16/2021-20165/white-house-initiative-on-advancing-educational-equity-excellence-and-economic-opportunity-for,https://www.govinfo.gov/content/pkg/FR-2021-09-16/pdf/2021-20165.pdf,Presidential Document,Executive Order,09/16/2021,2021-09-13,51581,"White House Initiative on Advancing Educational Equity, Excellence, and Economic Opportunity for Hispanics","Supersedes: EO 13935, July 9, 2020
See: EO 14091, February 16, 2023
Revoked by: EO 14148, January 20, 2025",14045
86 FR 50985, 2021-19924,50988,https://www.federalregister.gov/documents/2021/09/14/2021-19924/ensuring-adequate-covid-safety-protocols-for-federal-contractors,https://www.govinfo.gov/content/pkg/FR-2021-09-14/pdf/2021-19924.pdf,Presidential Document,Executive Order,09/14/2021,2021-09-09,50985,Ensuring Adequate COVID Safety Protocols for Federal Contractors,"Revoked by: EO 14099, May 9, 2023; EO 14174, January 21, 2025",14042
86 FR 50989, 2021-19927,50990,https://www.federalregister.gov/documents/2021/09/14/2021-19927/requiring-coronavirus-disease-2019-vaccination-for-federal-employees,https://www.govinfo.gov/content/pkg/FR-2021-09-14/pdf/2021-19927.pdf,Presidential Document,Executive Order,09/14/2021,2021-09-09,50989,Requiring Coronavirus Disease 2019 Vaccination for Federal Employees,"See:  EO 13991, January 20, 2021
Revoked by: EO 14099, May 9, 2023; EO 14174, January 21, 2025",14043
86 FR 50439, 2021-19578,50441,https://www.federalregister.gov/documents/2021/09/09/2021-19578/declassification-reviews-of-certain-documents-concerning-the-terrorist-attacks-of-september-11-2001,https://www.govinfo.gov/content/pkg/FR-2021-09-09/pdf/2021-19578.pdf,Presidential Document,Executive Order,09/09/2021,2021-09-03,50439,"Declassification Reviews of Certain Documents Concerning the Terrorist Attacks of September 11, 2001","See: EO 13526, December 29, 2009",14040
86 FR 50443, 2021-19579,50447,https://www.federalregister.gov/documents/2021/09/09/2021-19579/white-house-initiative-on-advancing-educational-equity-excellence-and-economic-opportunity-through,https://www.govinfo.gov/content/pkg/FR-2021-09-09/pdf/2021-19579.pdf,Presidential Document,Executive Order,09/09/2021,2021-09-03,50443,"White House Initiative on Advancing Educational Equity, Excellence, and Economic Opportunity Through Historically Black Colleges and Universities","See: EO 14091, February 16, 2023
Supersedes: EO 13779, February 28, 2017",14041
86 FR 47205, 2021-18306,47207,https://www.federalregister.gov/documents/2021/08/24/2021-18306/blocking-property-with-respect-to-certain-russian-energy-export-pipelines,https://www.govinfo.gov/content/pkg/FR-2021-08-24/pdf/2021-18306.pdf,Presidential Document,Executive Order,08/24/2021,2021-08-20,47205,Blocking Property With Respect to Certain Russian Energy Export Pipelines,"See: EO 14024, April 15, 2021; EO 14114, December 12, 2023",14039
86 FR 43905, 2021-17253,43908,https://www.federalregister.gov/documents/2021/08/11/2021-17253/blocking-property-of-additional-persons-contributing-to-the-situation-in-belarus,https://www.govinfo.gov/content/pkg/FR-2021-08-11/pdf/2021-17253.pdf,Presidential Document,Executive Order,08/11/2021,2021-08-09,43905,Blocking Property of Additional Persons Contributing to the Situation in Belarus,"See: EO 13405, June 16, 2006",14038
86 FR 43583, 2021-17121,43585,https://www.federalregister.gov/documents/2021/08/10/2021-17121/strengthening-american-leadership-in-clean-cars-and-trucks,https://www.govinfo.gov/content/pkg/FR-2021-08-10/pdf/2021-17121.pdf,Presidential Document,Executive Order,08/10/2021,2021-08-05,43583,Strengthening American Leadership in Clean Cars and Trucks,"Revoked by: EO 14148, January 20, 2025; EO 14154, January 20, 2025",14037
86 FR 36987, 2021-15069,36999,https://www.federalregister.gov/documents/2021/07/14/2021-15069/promoting-competition-in-the-american-economy,https://www.govinfo.gov/content/pkg/FR-2021-07-14/pdf/2021-15069.pdf,Presidential Document,Executive Order,07/14/2021,2021-07-09,36987,Promoting Competition in the American Economy,"See: EO 13725, April 15, 2016",14036
86 FR 34593, 2021-14127,34603,https://www.federalregister.gov/documents/2021/06/30/2021-14127/diversity-equity-inclusion-and-accessibility-in-the-federal-workforce,https://www.govinfo.gov/content/pkg/FR-2021-06-30/pdf/2021-14127.pdf,Presidential Document,Executive Order,06/30/2021,2021-06-25,34593,"Diversity, Equity, Inclusion, and Accessibility in the Federal Workforce","See: EO 13548, July 26, 2010; EO 13583, August 18, 2011; EO 13985, January 20, 2021; EO 13988, January 20, 2021; EO 14020, March 8, 2021; EO 14091, February 16, 2023; EO 14100, June 9, 2023; EO 14119, March 6, 2024
Revoked by: EO 14148, January 20, 2025",14035
86 FR 31423, 2021-12506,31426,https://www.federalregister.gov/documents/2021/06/11/2021-12506/protecting-americans-sensitive-data-from-foreign-adversaries,https://www.govinfo.gov/content/pkg/FR-2021-06-11/pdf/2021-12506.pdf,Presidential Document,Executive Order,06/11/2021,2021-06-09,31423,Protecting Americans' Sensitive Data From Foreign Adversaries,"See: EO 13873, May 15, 2019 
Revokes: EO 13942, August 6, 2020; EO 13943, August 6, 2020; EO 13971, January 5, 2021
Amended by: EO 14117, February 28, 2024",14034
86 FR 31079, 2021-12382,31082,https://www.federalregister.gov/documents/2021/06/10/2021-12382/blocking-property-and-suspending-entry-into-the-united-states-of-certain-persons-contributing-to-the,https://www.govinfo.gov/content/pkg/FR-2021-06-10/pdf/2021-12382.pdf,Presidential Document,Executive Order,06/10/2021,2021-06-08,31079,Blocking Property and Suspending Entry Into the United States of Certain Persons Contributing to the Destabilizing Situation in the Western Balkans,"See: EO 13219, June 26, 2001; EO 13304, May 28, 2003; Proc. 8693, July 24, 2011 
Amended by: EO 14140, January 8, 2025",14033
86 FR 30145, 2021-12019,30149,https://www.federalregister.gov/documents/2021/06/07/2021-12019/addressing-the-threat-from-securities-investments-that-finance-certain-companies-of-the-peoples,https://www.govinfo.gov/content/pkg/FR-2021-06-07/pdf/2021-12019.pdf,Presidential Document,Executive Order,06/07/2021,2021-06-03,30145,Addressing the Threat From Securities Investments That Finance Certain Companies of the People's Republic of China,"Supersedes in part: EO 13959, November 12, 2020 
Revokes: EO 13974, January 13, 2021",14032
86 FR 29675, 2021-11792,29681,https://www.federalregister.gov/documents/2021/06/03/2021-11792/advancing-equity-justice-and-opportunity-for-asian-americans-native-hawaiians-and-pacific-islanders,https://www.govinfo.gov/content/pkg/FR-2021-06-03/pdf/2021-11792.pdf,Presidential Document,Executive Order,06/03/2021,2021-05-28,29675,"Advancing Equity, Justice, and Opportunity for Asian Americans, Native Hawaiians, and Pacific Islanders","Supersedes: EO 13125, June 7, 1999; EO 13339, May 13, 2004; EO 13515, October 14, 2009; EO 13872, May 13, 2019
See: EO 13985, January 20, 2021; EO 14091, February 16, 2023
Amended by: EO 14109, September 29, 2023
Revoked by: EO 14148, January 20, 2025",14031
86 FR 27967, 2021-11168,27971,https://www.federalregister.gov/documents/2021/05/25/2021-11168/climate-related-financial-risk,https://www.govinfo.gov/content/pkg/FR-2021-05-25/pdf/2021-11168.pdf,Presidential Document,Executive Order,05/25/2021,2021-05-20,27967,Climate-Related Financial Risk,"See: EO 13707, September 15, 2015; EO 13807, August 15, 2017; EO 13985, January 20, 2021; EO 14008, January 27, 2021
Reinstates: EO 13690, January 30, 2015
Revoked by: EO 14148, January 20, 2025; EO 14154, January 20, 2025",14030
86 FR 27025, 2021-10691,27026,https://www.federalregister.gov/documents/2021/05/19/2021-10691/revocation-of-certain-presidential-actions-and-technical-amendment,https://www.govinfo.gov/content/pkg/FR-2021-05-19/pdf/2021-10691.pdf,Presidential Document,Executive Order,05/19/2021,2021-05-14,27025,Revocation of Certain Presidential Actions and Technical Amendment,"Revokes: EO 13925, May 28, 2020; EO 13933, June 26, 2020; EO 13934, July 3, 2020; EO 13964, December 10, 2020; EO 13978, January 18, 2021; EO 13980, January 18, 2021 
See: EO 14003, January 22, 2021; EO 13957, October 21, 2020; EO 14189, January 29, 2025
Revoked by: EO 14148, January 20, 2025",14029
